"subject_no" "activity" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAccMag-mean()" "fBodyAccMag-std()"
2 "WALKING" -0.99209849 -0.99412726 -0.99209849 -0.99412726 -0.9894526 -0.99451471 -0.99394477 -0.99576249 -0.99543688 -0.99728357 -0.99262272 -0.99530622
2 "WALKING" -0.98880473 -0.98770276 -0.98880473 -0.98770276 -0.99092702 -0.99385728 -0.98944095 -0.98687805 -0.99441044 -0.99553145 -0.98863354 -0.98793678
2 "WALKING" -0.98345554 -0.98813206 -0.98345554 -0.98813206 -0.99209801 -0.99224337 -0.98770443 -0.98767351 -0.99443167 -0.99463809 -0.98738595 -0.98950494
2 "WALKING" -0.97177018 -0.96608028 -0.97177018 -0.96608028 -0.98444335 -0.97153546 -0.92345144 -0.72226181 -0.98575128 -0.96661468 -0.97084205 -0.96746788
2 "WALKING" -0.89114826 -0.84259528 -0.89114826 -0.84259528 -0.97436577 -0.96989694 -0.94244588 -0.96165032 -0.98494221 -0.98392743 -0.86204866 -0.85576029
2 "WALKING" -0.94390252 -0.93970043 -0.94390252 -0.93970043 -0.9860497 -0.98926886 -0.96709063 -0.97232791 -0.99263654 -0.99471661 -0.96053843 -0.93797575
2 "WALKING" -0.97506523 -0.97474348 -0.97506523 -0.97474348 -0.99096838 -0.9911234 -0.98433291 -0.98766424 -0.99275342 -0.99496513 -0.98357957 -0.97284557
2 "WALKING" -0.95883076 -0.92293487 -0.95883076 -0.92293487 -0.96404005 -0.93386755 -0.95847553 -0.92509765 -0.97088597 -0.95995921 -0.93889729 -0.92558908
2 "WALKING" -0.9254881 -0.93678778 -0.9254881 -0.93678778 -0.95100947 -0.93406878 -0.9350631 -0.93730316 -0.95872291 -0.95653005 -0.937565 -0.9450127
2 "WALKING" -0.91671002 -0.93474524 -0.91671002 -0.93474524 -0.93070744 -0.87954362 -0.92330487 -0.90547784 -0.93362003 -0.88418956 -0.92074201 -0.95342129
2 "WALKING" -0.8866145 -0.85899127 -0.8866145 -0.85899127 -0.89156887 -0.88053321 -0.87094775 -0.7753274 -0.89403232 -0.82266518 -0.85460731 -0.88231245
2 "WALKING" -0.91424457 -0.84884008 -0.91424457 -0.84884008 -0.93379134 -0.90934307 -0.89507731 -0.7741979 -0.93389188 -0.84068516 -0.88238538 -0.85484132
2 "WALKING" -0.97639741 -0.98002125 -0.97639741 -0.98002125 -0.97752202 -0.98219111 -0.96121993 -0.97418936 -0.98156201 -0.98178573 -0.97599241 -0.98508439
2 "WALKING" -0.97278247 -0.97340407 -0.97278247 -0.97340407 -0.98230467 -0.98736749 -0.97418211 -0.98141963 -0.98801891 -0.98567978 -0.9744553 -0.97575665
2 "WALKING" -0.97410189 -0.97369118 -0.97410189 -0.97369118 -0.98929212 -0.99316908 -0.97913622 -0.98335629 -0.99242066 -0.99343452 -0.97854756 -0.9738442
2 "WALKING" -0.98424763 -0.98596967 -0.98424763 -0.98596967 -0.98869299 -0.99247748 -0.98438424 -0.98548723 -0.99339805 -0.99497909 -0.986493 -0.98674105
2 "WALKING" -0.9863763 -0.98543415 -0.9863763 -0.98543415 -0.98787803 -0.99101282 -0.98864889 -0.99072753 -0.99388532 -0.99488451 -0.98525593 -0.98677206
2 "WALKING" -0.98114936 -0.98288288 -0.98114936 -0.98288288 -0.99070401 -0.99477924 -0.98950178 -0.99283727 -0.99509372 -0.99577314 -0.9884016 -0.98126903
2 "WALKING" -0.98120081 -0.98298022 -0.98120081 -0.98298022 -0.99091628 -0.99143577 -0.98495044 -0.96738778 -0.99269469 -0.98906268 -0.98657404 -0.98232817
2 "WALKING" -0.92873856 -0.89838027 -0.92873856 -0.89838027 -0.97766739 -0.96574161 -0.94284864 -0.92860311 -0.98480912 -0.97945377 -0.89882048 -0.91278824
2 "WALKING" -0.97803564 -0.96122618 -0.97803564 -0.96122618 -0.99261266 -0.99290606 -0.97773598 -0.97714072 -0.99553914 -0.99584933 -0.97794345 -0.95814272
2 "WALKING" -0.99438865 -0.99413634 -0.99438865 -0.99413634 -0.99367703 -0.99497726 -0.99003935 -0.98957462 -0.99750587 -0.9979514 -0.99412375 -0.99408438
2 "WALKING" -0.98452293 -0.97430484 -0.98452293 -0.97430484 -0.99209242 -0.99408178 -0.98142234 -0.97133319 -0.99558278 -0.99481506 -0.98361921 -0.97224027
2 "WALKING" -0.98197129 -0.97653588 -0.98197129 -0.97653588 -0.98891135 -0.99043645 -0.9786125 -0.97314542 -0.99205801 -0.99310443 -0.98228846 -0.97579019
2 "WALKING" -0.98594601 -0.98682484 -0.98594601 -0.98682484 -0.98786737 -0.99004233 -0.98336311 -0.98402764 -0.99116242 -0.99358288 -0.98545244 -0.98886268
2 "WALKING" -0.98590459 -0.98664528 -0.98590459 -0.98664528 -0.98944283 -0.99158858 -0.98495388 -0.98409151 -0.99301191 -0.9946828 -0.98693338 -0.98747473
2 "WALKING" -0.99193129 -0.99193657 -0.99193129 -0.99193657 -0.99056259 -0.9918432 -0.99004857 -0.9894614 -0.995537 -0.9963504 -0.99094948 -0.99300967
2 "WALKING" -0.99505048 -0.99470667 -0.99505048 -0.99470667 -0.99335333 -0.99292018 -0.99063115 -0.99201041 -0.99566519 -0.99623914 -0.99362136 -0.99556168
2 "WALKING" -0.99569559 -0.99544433 -0.99569559 -0.99544433 -0.99524339 -0.99414257 -0.99330273 -0.99234285 -0.99593913 -0.99611078 -0.99433423 -0.99622836
2 "WALKING" -0.99231876 -0.99087672 -0.99231876 -0.99087672 -0.9921557 -0.9925433 -0.99096518 -0.98549334 -0.99491005 -0.99348714 -0.98949844 -0.99239429
2 "WALKING" -0.99053425 -0.98890189 -0.99053425 -0.98890189 -0.99245307 -0.99212445 -0.98602379 -0.98369587 -0.99231034 -0.99203913 -0.98970154 -0.98904718
2 "WALKING" -0.98713678 -0.98765605 -0.98713678 -0.98765605 -0.9939029 -0.99209187 -0.98588897 -0.98488949 -0.99443061 -0.99323111 -0.99041719 -0.98676218
2 "WALKING" -0.87722004 -0.83813635 -0.87722004 -0.83813635 -0.95780326 -0.95308411 -0.66865683 -0.82391109 -0.97639756 -0.97993471 -0.86276586 -0.84956542
2 "WALKING" -0.95395093 -0.94777267 -0.95395093 -0.94777267 -0.98480154 -0.97888194 -0.82576638 -0.8285661 -0.99015082 -0.98935188 -0.9682697 -0.94510476
2 "WALKING" -0.98179163 -0.98638468 -0.98179163 -0.98638468 -0.9934728 -0.99399259 -0.94355237 -0.92047855 -0.99428762 -0.99517906 -0.98955812 -0.98545405
2 "WALKING" -0.99140977 -0.99004513 -0.99140977 -0.99004513 -0.98918771 -0.98984237 -0.98258066 -0.98471783 -0.99239408 -0.99234138 -0.98838421 -0.99189473
2 "WALKING" -0.97881153 -0.96695181 -0.97881153 -0.96695181 -0.97656492 -0.97784271 -0.96659584 -0.96333912 -0.98248196 -0.98013625 -0.97006626 -0.96910415
2 "WALKING" -0.97556248 -0.96792516 -0.97556248 -0.96792516 -0.9776169 -0.97886575 -0.95753906 -0.96840018 -0.97948948 -0.98272116 -0.97162213 -0.96958959
2 "WALKING" -0.9675803 -0.96349439 -0.9675803 -0.96349439 -0.98985561 -0.99203915 -0.97217324 -0.97591109 -0.98970626 -0.99140006 -0.97898403 -0.96055103
2 "WALKING" -0.96613087 -0.9669498 -0.96613087 -0.9669498 -0.99170127 -0.99479507 -0.98445222 -0.98651159 -0.99455097 -0.99536808 -0.98149522 -0.96388178
2 "WALKING" -0.98723788 -0.99001835 -0.98723788 -0.99001835 -0.99279565 -0.99618927 -0.99088224 -0.99245708 -0.9965757 -0.99668729 -0.99091344 -0.98991368
2 "WALKING" -0.98994608 -0.99068099 -0.98994608 -0.99068099 -0.99449181 -0.99647917 -0.99305995 -0.99336204 -0.99725074 -0.99758308 -0.9915257 -0.99052787
2 "WALKING" -0.98846007 -0.98621185 -0.98846007 -0.98621185 -0.99370981 -0.99526798 -0.98784661 -0.98040731 -0.99551664 -0.99599179 -0.98939688 -0.985299
2 "WALKING" -0.91669749 -0.8434728 -0.91669749 -0.8434728 -0.95122949 -0.90596974 -0.82362506 -0.86141167 -0.95467236 -0.91441714 -0.86122749 -0.85730185
2 "WALKING" -0.98122621 -0.97908161 -0.98122621 -0.97908161 -0.98586535 -0.98640829 -0.91425567 -0.91926422 -0.98654648 -0.9883955 -0.9798187 -0.98075362
2 "WALKING" -0.99088456 -0.99348713 -0.99088456 -0.99348713 -0.99101218 -0.99410948 -0.96723595 -0.96612827 -0.99178625 -0.99208639 -0.99197665 -0.99485329
2 "WALKING" -0.99461891 -0.99580527 -0.99461891 -0.99580527 -0.99381926 -0.994684 -0.98499982 -0.99324165 -0.99527188 -0.9946964 -0.99570482 -0.99565194
2 "WALKING" -0.99755985 -0.99606864 -0.99755985 -0.99606864 -0.99553935 -0.99559462 -0.98941665 -0.99555182 -0.99514057 -0.99643388 -0.99559954 -0.99619873
2 "WALKING" -0.99893571 -0.9961654 -0.99893571 -0.9961654 -0.99495126 -0.99610907 -0.99328876 -0.99514579 -0.99624462 -0.9976173 -0.99595286 -0.99606117
2 "WALKING" -0.99762785 -0.99597466 -0.99762785 -0.99597466 -0.99374906 -0.99607895 -0.99676166 -0.99671942 -0.99711144 -0.99860291 -0.99500693 -0.99660012
2 "WALKING" -0.9914538 -0.99426977 -0.9914538 -0.99426977 -0.99399789 -0.9957322 -0.99639256 -0.99722715 -0.99670883 -0.99771084 -0.99397873 -0.99446875
2 "WALKING" -0.98920966 -0.9943943 -0.98920966 -0.9943943 -0.99307567 -0.99410028 -0.99293871 -0.99498392 -0.9967011 -0.99691094 -0.9938574 -0.99479161
2 "WALKING" -0.99040175 -0.99508494 -0.99040175 -0.99508494 -0.99424052 -0.99495541 -0.99273406 -0.99432928 -0.99617884 -0.99689851 -0.994644 -0.99530731
2 "WALKING" -0.98226511 -0.98382787 -0.98226511 -0.98382787 -0.99645159 -0.99898051 -0.98881937 -0.98983511 -0.99564426 -0.99667542 -0.99136982 -0.98115209
2 "WALKING" -0.86552976 -0.84800241 -0.86552976 -0.84800241 -0.97485844 -0.96520099 -0.63911675 -0.78120823 -0.97895591 -0.97395005 -0.84038757 -0.87507951
2 "WALKING" -0.93097813 -0.92681118 -0.93097813 -0.92681118 -0.9876883 -0.99086608 -0.82024716 -0.82080707 -0.98941993 -0.99024153 -0.96034958 -0.92244854
2 "WALKING" -0.96798124 -0.97859325 -0.96798124 -0.97859325 -0.98981544 -0.99382447 -0.93136684 -0.93521921 -0.99358379 -0.99464706 -0.98503957 -0.97718751
2 "WALKING" -0.97918424 -0.98318868 -0.97918424 -0.98318868 -0.98946973 -0.99348171 -0.96540293 -0.97383808 -0.99406694 -0.99363653 -0.98700688 -0.98237801
2 "WALKING" -0.98243677 -0.98774126 -0.98243677 -0.98774126 -0.9898351 -0.99308403 -0.97730692 -0.98477734 -0.9944413 -0.99388505 -0.98814184 -0.98831462
2 "WALKING" -0.97902373 -0.98187916 -0.97902373 -0.98187916 -0.99175592 -0.99392305 -0.98168007 -0.98438727 -0.99507025 -0.99519875 -0.98672683 -0.98075496
2 "WALKING" -0.98083557 -0.98188915 -0.98083557 -0.98188915 -0.99200077 -0.99356731 -0.98466842 -0.98460002 -0.99563424 -0.99639328 -0.98673781 -0.98076203
2 "WALKING" -0.98172401 -0.97939746 -0.98172401 -0.97939746 -0.98930602 -0.99070335 -0.98818907 -0.99121632 -0.99563919 -0.99734403 -0.98260472 -0.97954206
2 "WALKING" -0.9780311 -0.97458534 -0.9780311 -0.97458534 -0.98886288 -0.99203876 -0.98733156 -0.99005577 -0.9943734 -0.99659973 -0.98442006 -0.97227619
2 "WALKING" -0.97782444 -0.98126334 -0.97782444 -0.98126334 -0.99150787 -0.99557948 -0.98853747 -0.98928214 -0.99198729 -0.994198 -0.98457882 -0.98105261
2 "WALKING" -0.97905506 -0.98222938 -0.97905506 -0.98222938 -0.99284837 -0.99673866 -0.98848981 -0.99039732 -0.99400093 -0.99315235 -0.98675301 -0.98122143
2 "WALKING" -0.97585522 -0.97479885 -0.97585522 -0.97479885 -0.9921009 -0.99408928 -0.98491656 -0.98814562 -0.9965863 -0.99660084 -0.9873106 -0.97143283
2 "WALKING" -0.97270083 -0.98152474 -0.97270083 -0.98152474 -0.99199659 -0.99424928 -0.98687675 -0.98620588 -0.99706358 -0.99744225 -0.98822762 -0.97956176
2 "WALKING" -0.35642995 -0.44353865 -0.35642995 -0.44353865 -0.3907957 -0.31796451 -0.41694099 -0.54568881 -0.6523754 -0.70572975 -0.36829615 -0.57722126
2 "WALKING" -0.29560789 -0.43868662 -0.29560789 -0.43868662 -0.29461029 -0.24507369 -0.45988777 -0.60457531 -0.63826673 -0.6918202 -0.37184739 -0.56717287
2 "WALKING" -0.27755891 -0.41638152 -0.27755891 -0.41638152 -0.26769037 -0.12095298 -0.48168882 -0.61192892 -0.64125343 -0.69026657 -0.29947596 -0.58529069
2 "WALKING" -0.29128626 -0.44905304 -0.29128626 -0.44905304 -0.31774429 -0.17613586 -0.48181773 -0.57411233 -0.64491506 -0.68108841 -0.33121193 -0.61447491
2 "WALKING" -0.34393842 -0.51999786 -0.34393842 -0.51999786 -0.39977024 -0.4160981 -0.51339105 -0.58486464 -0.66086041 -0.69819388 -0.47527034 -0.62108306
2 "WALKING" -0.33913225 -0.49456952 -0.33913225 -0.49456952 -0.36820031 -0.31012745 -0.49657329 -0.5977214 -0.65168663 -0.70796706 -0.44004903 -0.60631309
2 "WALKING" -0.32871571 -0.47067775 -0.32871571 -0.47067775 -0.32261213 -0.24570533 -0.49858237 -0.64260285 -0.63859884 -0.72779504 -0.40946333 -0.59051964
2 "WALKING" -0.32195911 -0.45233848 -0.32195911 -0.45233848 -0.31568134 -0.26600811 -0.50785098 -0.64421091 -0.62051582 -0.71246138 -0.39103123 -0.57498276
2 "WALKING" -0.33016333 -0.45187902 -0.33016333 -0.45187902 -0.34419414 -0.23879917 -0.49133343 -0.62275863 -0.6188359 -0.66586292 -0.39893103 -0.56893256
2 "WALKING" -0.36824597 -0.45085553 -0.36824597 -0.45085553 -0.3780273 -0.21220632 -0.45151586 -0.57802274 -0.65155773 -0.67259673 -0.36110946 -0.5937211
2 "WALKING" -0.31979196 -0.44368488 -0.31979196 -0.44368488 -0.3472925 -0.22987747 -0.4128306 -0.5369922 -0.64074418 -0.68291115 -0.35143601 -0.58948303
2 "WALKING" -0.27982595 -0.43738301 -0.27982595 -0.43738301 -0.25896599 -0.23200899 -0.42558988 -0.51384022 -0.57512019 -0.60196087 -0.30654153 -0.61477125
2 "WALKING" -0.28918183 -0.40656078 -0.28918183 -0.40656078 -0.2352392 -0.20040076 -0.44980786 -0.49562903 -0.54820202 -0.57280162 -0.24512449 -0.61424602
2 "WALKING" -0.30398572 -0.45172781 -0.30398572 -0.45172781 -0.29130408 -0.22857044 -0.47728207 -0.53817799 -0.59628528 -0.61774919 -0.34422767 -0.60807077
2 "WALKING" -0.34035128 -0.50300025 -0.34035128 -0.50300025 -0.35360537 -0.26290785 -0.49195229 -0.59918039 -0.65195212 -0.67490435 -0.40227928 -0.64768601
2 "WALKING" -0.30975798 -0.47690441 -0.30975798 -0.47690441 -0.39321429 -0.33623732 -0.3831065 -0.50389296 -0.67390552 -0.7187459 -0.42462429 -0.58980347
2 "WALKING" -0.23978012 -0.44172461 -0.23978012 -0.44172461 -0.25024404 -0.22303219 -0.43113771 -0.6167634 -0.64019744 -0.71600554 -0.33592377 -0.59832529
2 "WALKING" -0.23019556 -0.49046433 -0.23019556 -0.49046433 -0.26629944 -0.26654742 -0.4306258 -0.56461572 -0.62021606 -0.69499883 -0.37143485 -0.65181305
2 "WALKING" -0.28585082 -0.51915064 -0.28585082 -0.51915064 -0.3519543 -0.36888073 -0.4708807 -0.5542548 -0.62641067 -0.67927808 -0.42808333 -0.65393685
2 "WALKING" -0.30705654 -0.43908817 -0.30705654 -0.43908817 -0.30254147 -0.26768952 -0.51198361 -0.59285328 -0.62875518 -0.68648643 -0.373438 -0.56668953
2 "WALKING" -0.30676319 -0.41030391 -0.30676319 -0.41030391 -0.3097675 -0.17049626 -0.47539664 -0.57702005 -0.62167293 -0.67550403 -0.35651805 -0.53424141
2 "WALKING" -0.29734115 -0.42895452 -0.29734115 -0.42895452 -0.32370844 -0.13166261 -0.45105168 -0.5746539 -0.63319332 -0.68112708 -0.34492915 -0.57103699
2 "WALKING" -0.29433279 -0.43716294 -0.29433279 -0.43716294 -0.29885768 -0.15495062 -0.47725335 -0.6040387 -0.62472881 -0.67326416 -0.31885191 -0.60456552
2 "WALKING" -0.30302458 -0.4581262 -0.30302458 -0.4581262 -0.32072101 -0.2446018 -0.46148716 -0.60284878 -0.61996538 -0.69396839 -0.37557211 -0.59499256
2 "WALKING" -0.2773393 -0.42305286 -0.2773393 -0.42305286 -0.28934742 -0.1923538 -0.43614923 -0.59566273 -0.6122662 -0.68541238 -0.34426555 -0.56224364
2 "WALKING" -0.29566445 -0.46281345 -0.29566445 -0.46281345 -0.33653393 -0.22872818 -0.48524322 -0.60547636 -0.65281864 -0.6920269 -0.39115054 -0.59100657
2 "WALKING" -0.32535221 -0.43737623 -0.32535221 -0.43737623 -0.35109235 -0.2698849 -0.5120166 -0.63447389 -0.65087145 -0.67732691 -0.37330608 -0.56395396
2 "WALKING" -0.29114892 -0.32690908 -0.29114892 -0.32690908 -0.25164244 -0.099867928 -0.4959017 -0.61724167 -0.61026981 -0.64156354 -0.22517345 -0.49577365
2 "WALKING" -0.27056279 -0.36508932 -0.27056279 -0.36508932 -0.25648752 -0.038054403 -0.50627633 -0.55519019 -0.63219483 -0.65096204 -0.31339238 -0.49460403
2 "WALKING" -0.3276947 -0.45901282 -0.3276947 -0.45901282 -0.36804681 -0.18352955 -0.52785449 -0.58693924 -0.66620431 -0.67561625 -0.37846149 -0.59411728
2 "WALKING" -0.12430303 0.015076704 -0.12430303 0.015076704 -0.22784285 -0.013456912 -0.52118948 -0.60960039 -0.6300678 -0.60653701 0.083042145 -0.18323706
2 "WALKING" -0.10552119 -0.0090930802 -0.10552119 -0.0090930802 -0.23473327 -0.057955119 -0.51689956 -0.65042438 -0.6477052 -0.6665056 0.055918606 -0.2017641
2 "WALKING" -0.10058114 0.088837152 -0.10058114 0.088837152 -0.16939165 0.12246534 -0.29102649 -0.40805351 -0.62234332 -0.60932642 0.21402701 -0.15828865
2 "WALKING" -0.14905178 0.068951035 -0.14905178 0.068951035 -0.22978496 0.049918323 -0.27650586 -0.42249342 -0.65572203 -0.63179555 0.070760315 -0.098392525
2 "WALKING" -0.15765539 -0.080181111 -0.15765539 -0.080181111 -0.25588863 -0.077301869 -0.40134671 -0.59995598 -0.66380035 -0.70418969 0.0015644208 -0.27272499
2 "WALKING" -0.067723063 0.14366311 -0.067723063 0.14366311 -0.13216426 0.16446869 -0.22654753 -0.33551845 -0.62999502 -0.65112059 0.13971799 -0.031621259
2 "WALKING" 0.0023212269 0.23288951 0.0023212269 0.23288951 -0.10538787 0.17378395 -0.17349511 -0.34878433 -0.60001868 -0.5938676 0.23917911 0.037997442
2 "WALKING" 0.04472448 0.17545204 0.04472448 0.17545204 -0.076905901 0.069150297 -0.21479759 -0.63124064 -0.56070113 -0.57962204 0.25742941 -0.05629937
2 "WALKING" -0.0023411896 0.055442041 -0.0023411896 0.055442041 -0.060200133 0.04018908 -0.27524992 -0.65120652 -0.57046925 -0.57377325 0.18872991 -0.19229921
2 "WALKING" -0.024937961 0.048339148 -0.024937961 0.048339148 -0.21704593 -0.013925482 -0.40902437 -0.48636944 -0.57249992 -0.50646859 0.083528564 -0.13512115
2 "WALKING" 0.052560497 0.095871167 0.052560497 0.095871167 -0.084508427 0.11914537 -0.4032089 -0.59624283 -0.5213111 -0.50460202 0.12079996 -0.088871263
2 "WALKING" 0.12893655 0.16740463 0.12893655 0.16740463 0.079570165 0.32809028 -0.089072619 -0.12430636 -0.47278732 -0.48983064 0.30026445 -0.096690491
2 "WALKING" 0.094128675 0.22432653 0.094128675 0.22432653 0.013084426 0.23569244 -0.010071583 -0.17708042 -0.49454896 -0.52934251 0.3005439 -0.011516083
2 "WALKING" 0.0003484156 0.31307906 0.0003484156 0.31307906 -0.09178968 0.15673515 -0.11656143 -0.20754237 -0.46188581 -0.33782617 0.3642846 0.078747899
2 "WALKING" -0.0072374035 0.25066426 -0.0072374035 0.25066426 -0.10779639 0.15274497 -0.14297328 -0.12051843 -0.45836398 -0.26574832 0.3171069 0.016905492
2 "WALKING" 0.13469472 0.23800428 0.13469472 0.23800428 0.049063696 0.24088575 -0.21410736 -0.35085961 -0.4457915 -0.39513301 0.30028262 0.00882652
2 "WALKING" 0.19090465 0.32398953 0.19090465 0.32398953 0.13216284 0.37008555 -0.24206682 -0.41673634 -0.42583855 -0.40343992 0.39132405 0.078178156
2 "WALKING" 0.33559069 0.39555447 0.33559069 0.39555447 0.092238809 0.25802847 -0.048151922 -0.31123688 -0.49324822 -0.56283286 0.32888273 0.21403711
2 "WALKING" 0.10780756 0.10486274 0.10780756 0.10486274 -0.026131675 0.087310399 0.057263322 -0.13329147 -0.47317965 -0.52837271 0.095448039 -0.061789364
2 "WALKING" 0.02219691 0.089330924 0.02219691 0.089330924 -0.017262658 0.10891101 -0.00057704683 -0.10352147 -0.44926707 -0.48150514 0.17208263 -0.12884513
2 "WALKING" 0.1109127 0.27702134 0.1109127 0.27702134 -0.018520016 0.096268122 -0.22515801 -0.39860528 -0.47914892 -0.52804457 0.36842891 0.024646747
2 "WALKING" 0.20566744 0.44932885 0.20566744 0.44932885 0.14153919 0.2813751 -0.051002175 -0.33651869 -0.42454197 -0.49286776 0.47375142 0.20958447
2 "WALKING" 0.17531459 0.25441562 0.17531459 0.25441562 0.13425871 0.19109367 0.0043070361 -0.43662498 -0.40084122 -0.49088592 0.32847412 0.015255862
2 "WALKING" 0.13859626 0.18195368 0.13859626 0.18195368 0.14293687 0.10442479 -0.098487161 -0.45678243 -0.32195407 -0.42491763 0.25407808 -0.044549273
2 "WALKING" -0.080257381 -0.2729147 -0.080257381 -0.2729147 -0.38252998 -0.32516348 -0.17445908 -0.51365123 -0.65836877 -0.70761366 -0.18689934 -0.43925574
2 "WALKING" -0.13481802 -0.24174371 -0.13481802 -0.24174371 -0.34697355 -0.32923496 -0.2954055 -0.4342238 -0.60303429 -0.67777479 -0.15135449 -0.4157344
2 "WALKING" -0.21663016 -0.33297165 -0.21663016 -0.33297165 -0.43515274 -0.38578827 -0.2693784 -0.43071583 -0.64053932 -0.71971681 -0.32350849 -0.44159804
2 "WALKING" -0.22012732 -0.31166471 -0.22012732 -0.31166471 -0.4522697 -0.36196038 -0.18047776 -0.3177256 -0.62997984 -0.70886994 -0.22182173 -0.47471666
2 "WALKING" -0.13444434 -0.21625802 -0.13444434 -0.21625802 -0.34586017 -0.1995766 -0.20923231 -0.36352252 -0.5639145 -0.58589183 -0.10751374 -0.40656587
2 "WALKING" -0.20964669 -0.29473591 -0.20964669 -0.29473591 -0.40042745 -0.24932407 -0.18983489 -0.40677357 -0.58162518 -0.59405351 -0.15942127 -0.49308938
2 "WALKING" -0.2313004 -0.33428275 -0.2313004 -0.33428275 -0.39817718 -0.32636997 -0.19737797 -0.38647655 -0.56790694 -0.59824582 -0.25590789 -0.48613635
2 "WALKING" -0.10673119 -0.17686399 -0.10673119 -0.17686399 -0.32464141 -0.27985401 -0.21754223 -0.4980118 -0.50764623 -0.54909391 -0.13739158 -0.32742882
2 "WALKING" -0.15130127 -0.21238875 -0.15130127 -0.21238875 -0.43453318 -0.38263516 -0.22856455 -0.41703988 -0.51316009 -0.49286378 -0.1899777 -0.34742783
2 "WALKING" -0.066013136 -0.1621874 -0.066013136 -0.1621874 -0.37446221 -0.28586392 -0.1685337 -0.44755696 -0.54491105 -0.56338357 -0.0512056 -0.36218995
2 "WALKING" -0.014524538 -0.14698253 -0.014524538 -0.14698253 -0.30112207 -0.24059299 -0.18838598 -0.4253394 -0.49120709 -0.55191897 -0.14785566 -0.27879577
2 "WALKING" -0.13155587 -0.23947086 -0.13155587 -0.23947086 -0.33102753 -0.14051829 -0.093705423 -0.33570021 -0.53770173 -0.50998624 -0.15877225 -0.40693163
2 "WALKING" -0.16213231 -0.27554829 -0.16213231 -0.27554829 -0.35491072 -0.26527231 -0.083455424 -0.23430112 -0.60423294 -0.57019814 -0.28183788 -0.38434279
2 "WALKING" -0.094184308 -0.17381199 -0.094184308 -0.17381199 -0.25329332 -0.035019427 -0.17567552 -0.25955538 -0.56414543 -0.60807578 -0.060310064 -0.37383924
2 "WALKING" -0.025631528 -0.18376522 -0.025631528 -0.18376522 -0.2581634 0.029664321 -0.12134538 -0.19206194 -0.50851563 -0.56825118 -0.073569887 -0.37981332
2 "WALKING" -0.048290474 -0.26902979 -0.048290474 -0.26902979 -0.31490523 -0.077725099 -0.051873198 -0.22551096 -0.4973354 -0.53459347 -0.19659158 -0.42659012
